"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSD17B6",155.515902218699,3.65761332167861,0.432595685190092,6.14341153336006,8.0767664485202e-10,2.96967236163569e-07
"AOC3",32124.0891195427,-5.25064802771697,0.772661371222999,-5.50130779928713,3.76984419935662e-08,8.0427997048249e-06
"AKR1C3",4282.9920876188,-3.1397004466328,0.474477378585657,-4.5095942255686,6.49517411212903e-06,0.000578572700163411
"SLC4A4",962.81431216004,-5.66047885638502,0.770630272493139,-6.04761975065872,1.47001398490068e-09,4.88525224482089e-07
"MYOM1",1122.55085079275,-5.1054220386342,0.695592602380802,-5.90204959710984,3.59013193149676e-09,1.02399132892071e-06
"WISP1",528.510705495485,3.64148679374985,0.6895433308536,3.83077708906255,0.000127739191844035,0.00675064518121338
"GYG2",16229.7439068974,-5.46889443504295,0.893277207107249,-5.00280808632164,5.65011824286123e-07,7.62810104335039e-05
"PKMYT1",729.955896047097,5.72966304730039,1.03190299565622,4.58343765568067,4.57393300795555e-06,0.000441576180505474
"CCNB2",912.058721943732,4.5784373793871,0.85582117389037,4.18129100863482,2.8985860031451e-05,0.00204450876409594
"SYNGR3",98.1091890166674,4.3698994210672,0.725847769137805,4.64270824317628,3.43871767457667e-06,0.000343494104822887
"EXO1",696.540255002302,5.05652467319031,1.07857658689274,3.76099826612841,0.000169236603218969,0.00823824715556902
"SLC16A7",1205.67226949194,-4.95046484403057,0.977212031717953,-4.04258719275651,5.28646443947796e-05,0.00337104767448777
"AURKB",551.316550654997,5.35583125857702,1.0244416975624,4.25190742327403,2.11957482490591e-05,0.00159949225105673
"DLGAP2",34.8904417074478,-4.43290287979006,0.874947656583548,-3.92355228791022,8.7252817365247e-05,0.00511124046402994
"PTTG1",875.621673993093,4.48780270302047,0.871600865897498,4.00160536718724,6.29141672264317e-05,0.0039108623159711
"GPR37L1",57.4341906221157,5.40068536733453,1.03024086082202,4.27151119188117,1.94152781447012e-05,0.00149117965163814
"TRIP13",1341.66058942058,4.23458240450565,0.794172458376415,4.07289672462118,4.64320164880208e-05,0.00301651006364469
"GLP2R",27.2796121823226,-7.71526878943424,1.48249428827761,-4.5297097213347,5.90647795625008e-06,0.000542924710435945
"ADIPOQ",136397.929705801,-7.66862385723095,1.47046139480695,-4.53505537838785,5.7588373255326e-06,0.000535045525927574
"FHL5",342.806687742475,-3.67414732349298,0.519303086270082,-5.14949245285671,2.61192283113047e-07,4.03005700399694e-05
"ONECUT2",203.686456198779,4.85136609915719,1.00494625994735,3.83241000305725,0.000126894026467793,0.00672655113923292
"KIF23",1371.73213645486,4.21411103842121,0.806664538003994,3.98444568590332,6.76378245672832e-05,0.00414485548350079
"DLGAP5",1043.59502883725,5.43354837614226,1.13608669138649,3.90247364902368,9.5214606683571e-05,0.00543037497722373
"MELK",1346.27162641355,5.51874899974211,0.984235249269343,4.59112697202895,4.4085901992725e-06,0.000428004759739484
"GINS1",776.775942223488,3.43882064002689,0.644792668144839,3.78233308242124,0.000155365274006083,0.0077822240582583
